pair,page_name,old,new,content_head_first_200,source_url
character → item,Shield_of_Conviction,character,item,"Shield of Conviction [...] thumbnail: File missingDefense 29 Aeserion's Scale x1 Abyss Artifact x1 Error creating thumbnail: File missing28,702 ###  Crimson Desert Shield of Conviction Notes, Tips &",https://crimsondesert.wiki.fextralife.com/Shield_of_Conviction
character → item,Canta_Plate_Armor,character,item,"Canta Plate Armor [...] in Crimson Desert Canta Plate Armor can be found in the following locations: - Wandering Freesword - 3% drop rate ###  Crimson Desert Canta Plate Armor Notes, Tips & Trivia",https://crimsondesert.wiki.fextralife.com/Canta_Plate_Armor
character → item,Hernandian_Contribution_Banner,character,item,"Hernandian Contribution Banner [...] Hernandian Contribution Banner, players require Materials and currency.  Stats Materials Price +0 Attack 20  30 ###  Crimson Desert Hernandian Contribution Ban",https://crimsondesert.wiki.fextralife.com/Hernandian_Contribution_Banner
character → item,Invisible_Longsword,character,item,"Invisible Longsword [...] players require Materials and currency.  Stats Materials Price +0 Attack 15 Attack Speed Lv.3 Critical Rate Lv.3  1 ###  Crimson Desert Invisible Longsword Notes, Tips ",https://crimsondesert.wiki.fextralife.com/Invisible_Longsword
character → item,Falconne_Pistol,character,item,"Falconne Pistol by the amount of golden lines the item possesses in its image. In order to Refine Falconne Pistol, players require Materials and currency.  Stats Materials Price +0 Attack: 11 Attack",https://crimsondesert.wiki.fextralife.com/Falconne_Pistol
character → item,Fallen_Kingdom's_Rapier,character,item,"Fallen Kingdom's Rapier [...] File missingAttack Speed: Lv.3 Aeserion's Scale x1 Abyss Artifact x1 Error creating thumbnail: File missing29,035 ###  Crimson Desert Fallen Kingdom's Rapier Notes, Tip",https://crimsondesert.wiki.fextralife.com/Fallen_Kingdom%27s_Rapier
character → item,Street Vendor,character,item,Street Vendor [...] - Beighen Candlery: You may encounter a Wandering Merchant Street Shop in Beighen Candlery. [Crimson Desert Map] ### Street Vendor Vendor Inventory in Crimson Desert Item  Stock ,https://crimsondesert.wiki.fextralife.com/Street+Vendor
character → item,Survivor's_Solitude,character,item,"Survivor's Solitude [...] thumbnail: File missingAttack: 34 Aeserion's Scale x1 Abyss Artifact x1 Error creating thumbnail: File missing28,114 ###  Crimson Desert Survivor's Solitude Notes, Tips & T",https://crimsondesert.wiki.fextralife.com/Survivor%27s_Solitude
character → exploration,Southern_Guard_Post,character,exploration,"Southern Guard Post [...] regions in Pywel. Players can discover various NPCs, obtain unique Items, and encounter ferocious Enemies and Bosses. ###  Crimson Desert Southern Guard Post Location Notes",https://crimsondesert.wiki.fextralife.com/Southern_Guard_Post
character → exploration,Halssius Conflux,character,exploration,"Halssius Conflux ### Halssius Conflux          A zone where the two rivers of Halmius region converge into one. Their combined currents flow with a mighty roar, nurturing fertile soils and a variety",https://crimsondesert.wiki.fextralife.com/Halssius+Conflux
character → exploration,Vilkom_Outpost,character,exploration,"Vilkom Outpost [...] regions in Pywel. Players can discover various NPCs, obtain unique Items, and encounter ferocious Enemies and Bosses. ###  Crimson Desert Vilkom Outpost Location Notes, Tips & T",https://crimsondesert.wiki.fextralife.com/Vilkom_Outpost
character → exploration,Greymane_Camp,character,exploration,Greymane Camp [...] Smithing mission rewards - Skilled Smith - 30% Smithing mission rewards - Expert Smith - 60% Smithing mission rewards ###  Managing Supplies of Greymane Camp in Crimson Desert ,https://crimsondesert.wiki.fextralife.com/Greymane_Camp
character → exploration,Cloudmist Cave,character,exploration,"Cloudmist Cave ### Cloudmist Cave          A hidden cave behind the waterfall in Duskwood. Tiny drips fall from the ceiling, dampening the walls. The cool sound of the waterfall softly fills the spa",https://crimsondesert.wiki.fextralife.com/Cloudmist+Cave
character → exploration,Howling_Hills,character,exploration,Howling Hill [...] Main page - Recent changes - Random page - Help about MediaWiki Home > World Information > Locations > Howling Hill ###  Howling Hill  A hill overlooking all of Hernand. While w,https://crimsondesert.wiki.fextralife.com/Howling_Hills
character → quest,Bounty Notice: Jeffrey,character,quest,Bounty Notice: Jeffrey ### Bounty Notice: Jeffrey          Faction  House Celeste  Quest Giver  Pedro  Quest Location  City of Hernand  Requirements  Read the Bounty Notice: Jeffrey  Unlocks  Bounty,https://crimsondesert.wiki.fextralife.com/Bounty+Notice:+Jeffrey
character → quest,Remaining Chains,character,quest,Remaining Chains ### Remaining Chains          Faction  House Serkis  Quest Giver  ???  Quest Location  Rocca's Hill  Requirements  Clear Rocca's Slave Camp  Unlocks  N/A  Notable NPCs  N/A  Multipl,https://crimsondesert.wiki.fextralife.com/Remaining+Chains
item → recipe,Satisfying Grilled Seafood,item,recipe,Satisfying Grilled Seafood ### Satisfying Grilled Seafood        Provisions         Health: +180.0                 Sells for   24                    A dish of grilled seafood. The smoky aroma and br,https://crimsondesert.wiki.fextralife.com/Satisfying+Grilled+Seafood
item → recipe,Battered Meat And Fish,item,recipe,Battered Meat And Fish ### Battered Meat And Fish        Provisions         Health: +240.0 Fire Resistance Lv 4 (1 min)                 Sells for   31                    Various ingredients have bee,https://crimsondesert.wiki.fextralife.com/Battered+Meat+And+Fish
recipe → item,Southern_Blue_Peacock_Butterfly,recipe,item,Southern Blue Peacock Butterfly [...] spots. The hindwings have two distinct eye-shaped spots. The female has a stronger overall brown tone and less blue. ###  Crimson Desert Southern Blue Peacock B,https://crimsondesert.wiki.fextralife.com/Southern_Blue_Peacock_Butterfly
recipe → item,Thalwynd_Longsword,recipe,item,"Thalwynd Longsword [...] Ore x9 Abyss Artifact x1 29,187 +10 Attack 39 Critical Rate Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,038 ###  Crimson Desert Thalwynd Longsword Notes, Tips & Trivia -",https://crimsondesert.wiki.fextralife.com/Thalwynd_Longsword
mechanic → quest,Harmonious Hooves IV,mechanic,quest,Harmonious Hooves IV [...] on a stone memorial on the side of the main road of the Mountain of Frozen Souls in Hernand. [Crimson Desert Map] ### Crimson Desert Harmonious Hooves IV Quest Objectives ,https://crimsondesert.wiki.fextralife.com/Harmonious+Hooves+IV
mechanic → item,Rampaging Infinite Arrows,mechanic,item,Rampaging Infinite Arrows [...] Abyss Core in Crimson Desert   Rampaging Infinite Arrows can be socketed into the following Equipment:      - ?? ### Crimson Desert Rampaging Infinite Arrows Abyss ,https://crimsondesert.wiki.fextralife.com/Rampaging+Infinite+Arrows
quest → exploration,Springtide_Mill,quest,exploration,"Springtide Mill [...] regions in Pywel. Players can discover various NPCs, obtain unique Items, and encounter ferocious Enemies and Bosses. ###  Crimson Desert Springtide Mill Location Notes, Tips &",https://crimsondesert.wiki.fextralife.com/Springtide_Mill
recipe → character,Maegu,recipe,character,"Maegu [...] Maegu can be found in Bamboo Forest Seonangdang during the quest A Bond. [[[Interactive Map|Crimson Desert Map]]] ###  Maegu Crimson Desert Notes, Tips & Trivia - Notes, Tips & Trivia f",https://crimsondesert.wiki.fextralife.com/Maegu
character → boss,Marni's_Clockwork_Mantis,character,boss,Marni's Clockwork Mantis BossesAntumbra's Sword Ator Archon of Antumbra Awakened Lucian Bastier Awakened Ludvig Beloth the Darksworn Cassius Morten Crimson Nightmare Crimson Warden Draven the Crowcal,https://crimsondesert.wiki.fextralife.com/Marni%27s_Clockwork_Mantis
character → mechanic,Goldleaf Merchant Guild,character,mechanic,"Goldleaf Merchant Guild ### Goldleaf Merchant Guild          The largest merchant guild in Hernand, run by goblins. Their influence stretches beyond Hernand across all of Pywel. If a deal is profita",https://crimsondesert.wiki.fextralife.com/Goldleaf+Merchant+Guild
mechanic → exploration,Echoing_Waves_Cave,mechanic,exploration,"Echoing Waves Cave [...] regions in Pywel. Players can discover various NPCs, obtain unique Items, and encounter ferocious Enemies and Bosses. ###  Crimson Desert Echoing Waves Cave Location Notes, ",https://crimsondesert.wiki.fextralife.com/Echoing_Waves_Cave
item → quest,Tales_of_Sunset_Valley,item,quest,"Tales of Sunset Valley [...] questlines. These items can be obtained from NPCs, rewarded from completing Quests, or by defeating Enemies or Bosses. ###  Crimson Desert Tales of Sunset Valley Notes, ",https://crimsondesert.wiki.fextralife.com/Tales_of_Sunset_Valley
quest → character,Marius,quest,character,"Marius [...] Unfamiliar Lands - Old Friend - Return of the Comrade - Return - Hope After the Draught - Embers of Return ###  Marius Crimson Desert Notes, Tips & Trivia - Notes, Tips & Trivia f",https://crimsondesert.wiki.fextralife.com/Marius
quest → item,Sword_of_Trials_I,quest,item,Sword of Trials I Slash III Passage of Malice (Challenge) Path of Serpents (Challenge) Path of Trials (Challenge) Precipice of Echoes Ruins Precipice of Truth (Challenge) Provisions Rainbow Across th,https://crimsondesert.wiki.fextralife.com/Sword_of_Trials_I
