page_name,old,new,reason,changed,is_nav_only,content_head_first_200
Golden-Knotted_Ancestral_Bow,item,item,,FALSE,FALSE,"Golden-Knotted Ancestral Bow [...] x45 Fang x36 Flawless Timber x20 Abyss Artifact x1 27,552 +10 Attack: 33 Aeserion's Scale x1 Abyss Artifact x1 30,403 ###  Crimson Desert Golden-Knotted Ancestral "
Large_Farming_Rake_Scythe,item,item,,FALSE,FALSE,"Large Farming Rake Scythe [...] x20  Fang x36  Scolecite Ore x6  Abyss Artifact x1 20,119 +10 Attack: 31 Aeserion's Scale x1  Abyss Artifact x1 22,970 ###  Crimson Desert Large Farming Rake Scythe T"
Rising_Torrent,item,item,,FALSE,FALSE,"Rising Torrent [...] Effect When socketed, Rising Torrent provides the following stats or skill: - Rising Torrent (Dodge after being hit) ###  Crimson Desert Rising Torrent Abyss Core Notes, Tips "
Subcontent:Accessories_2_Accessories_Table,item,uncertain,nav-only page with minimal substantive content about accessories,TRUE,TRUE,Subcontent:Accessories 2 Accessories Table metal ring that looks ready to snap at any moment. Its heavily weathered surface hints at the hardships and long years its owner has endured. Retrieved fro
Agstree_Leather_Boots,item,item,,FALSE,FALSE,"Agstree Leather Boots [...] and can no longer serve its function. Though it cannot be equipped, it can be sold at a shop or donated to the camp. ###  Crimson Desert Agstree Leather Boots Notes, Tips"
Frostward I,item,item,,FALSE,FALSE,Frostward I ### Frostward I        Abyss Core         Ice Resistance Lv 1                 Sells for 1.44                   Grants a variety of effects when embedded in an equipment socket. Witches f
Spear_of_the_Fleeting,item,item,,FALSE,FALSE,"Spear of the Fleeting [...] Ore x9 Abyss Artifact x1 29,797 +10 Attack 35 Attack Speed Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,648 ###  Crimson Desert Spear of the Fleeting Notes, Tips & Triv"
Vendors,item,mechanic,,TRUE,FALSE,"Vendors [...] with unique names and are instead listed simply as Street Vendors, scattered across different areas and regions. ### Selling Items to Vendors in Crimson Desert    As mentioned earlier"
Disarm I,item,item,,FALSE,FALSE,"Disarm I [...] Effect   When socketed, Disarm I provides the following stats or skill:      - 1% chance to disarm enemies on hit ### Crimson Desert Disarm I Abyss Core Notes, Tips & Trivia      -"
Notepad,item,uncertain,nav-only page listing tools without substantive content,TRUE,TRUE,"Notepad [...] combat, and everyday survival, including things like pickaxes, shovels, axes, grappling hooks, and other useful gear. ###  Crimson Desert Notepad Tools Notes, Tips & Trivia - Notes, T"
Solas Plate Armor,item,item,,FALSE,FALSE,Solas Plate Armor How to Obtain / Where to Find: ### Where to Find Solas Plate Armor in Crimson Desert   Solas Plate Armor can be found in the following locations:      - Final rewards for completin
Medium Varnian Banner Pike,item,item,,FALSE,FALSE,Medium Varnian Banner Pike ### Medium Varnian Banner Pike        Two-Handed Weapon           Attack   24                 A medium banner pike bearing the Varnia's symbol. It looks like it could be u
Composure II,item,item,,FALSE,FALSE,"Composure II [...] Abyss Core Effect   When socketed, Composure II provides the following stats or skill:      - Spirit: +0.2 every sec ### Crimson Desert Composure II Abyss Core Notes, Tips & Tri"
Unyielding Warrior's Plate Boots,item,item,,FALSE,FALSE,Unyielding Warrior's Plate Boots How to Obtain / Where to Find: ### Where to Find Unyielding Warrior's Plate Boots in Crimson Desert   Unyielding Warrior's Plate Boots can be dropped by the following
Bethel_Leather_Boots,item,item,,FALSE,FALSE,"Bethel Leather Boots [...] and can no longer serve its function. Though it cannot be equipped, it can be sold at a shop or donated to the camp. ###  Crimson Desert Bethel Leather Boots Notes, Tips &"
Spear_of_Righteousness,item,item,,FALSE,FALSE,"Spear of Righteousness [...] Ore x9 Abyss Artifact x1 29,797 +10 Attack 35 Attack Speed Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,648 ###  Crimson Desert Spear of Righteousness Notes, Tips & Tr"
Subcontent:Abyss_Core_1_Abyss_Core_Gallery,item,uncertain,nav-only,TRUE,TRUE,Subcontent:Abyss Core 1 Abyss Core Gallery Body Armor - Cloaks - Footwear - Accessories - Abyss Gear - Items- Collectibles - Crafting Manuals - Key Items - Recovery Items - Horse Items - Gatherable
Grilled_Fruit_(Recipe),item,uncertain,excerpt is nav-only list without recipe details,TRUE,TRUE,"Grilled Fruit (Recipe) (Recipe) Braised Ribs (Recipe) Bright Red Dye (Recipe) Bullet (Recipe) Chewy Rice Cakes (Recipe) Clear Soup (Recipe) Cloth Armor of the World, Vol. I (Recipe) Dark Red Dye (Rec"
Rhinoceros_Beetle,item,item,,FALSE,FALSE,"Rhinoceros Beetle [...] Information - Gatherable type: Alchemy Material | Alchemy Material - Effect: Defense: +6.0 (1 min) Spirit: +1.0 ###  Crimson Desert Rhinoceros Beetle Notes, Tips & Trivia "
Nagmore_Leather_Boots,item,item,,FALSE,FALSE,"Nagmore Leather Boots [...] provides stable protection for the leg, while the folded leather cover on the upper part adds both utility and style. ###  Crimson Desert Nagmore Leather Boots Notes, Tip"
Hernandian Guard Captain's Cloth Cloak,item,item,,FALSE,FALSE,Hernandian Guard Captain's Cloth Cloak Hernandian Guard Captain's Cloth Cloak           Cloak        None      Armor that is completely broken and can no longer serve its function. Though it cannot b
Shadowleaf Bow,item,item,,FALSE,FALSE,"Shadowleaf Bow Stats  Materials  Price  +0  Attack: 11   864  +1  Attack: 13  Timber x10  964  +2  Attack: 15  Timber x15  1,114  +3  Attack: 17  Timber x20 Fine Timber x10  1,564  +4  Attack: 19  Ti"
Sanguine Knell,item,item,,FALSE,FALSE,"Sanguine Knell Stats  Materials  Price  +0  Attack 15       Critical Rate Lv.2       2,331  +1  Attack 17       Critical Rate Lv.2  Iron Ore x3  2,385  +2  Attack 19       Critical Rate Lv.2  Iron Or"
Leather_Helm_of_the_Fallen_Kingdom,item,item,,FALSE,FALSE,Leather Helm of the Fallen Kingdom [...] following locations: - Can be found in a hidden chamber at the Sanctum of Benediction. [[[Interactive Map|Map Link]]] ###  Crimson Desert Leather Helm of th
Metal Ware,item,item,,FALSE,FALSE,"Metal Ware ### Metal Ware        Metal Containers                                   A metal container meticulously crafted by an artisan. Ideal for savoring drinks, the cup is primarily used at banq"
Fine Stone,item,item,,FALSE,FALSE,"Fine Stone ### Fine Stone                              Stone with high density and few cracks. Its surface is smooth, and its texture is uniform, allowing for precise processing. It's used in decora"
Golden_Green_Plate_Cloak,item,item,,FALSE,FALSE,"Golden Green Plate Cloak [...] found in the following locations: - Can be found in Venom Blade Grotto, located behind a waterfall at the Red River. ###  Crimson Desert Golden Green Plate Cloak Note"
Plate_Boots_of_the_Fallen_Kingdom,item,item,,FALSE,FALSE,Plate Boots of the Fallen Kingdom [...] of the Fallen Kingdom can be found in the following Locations: - Can be found behind the waterfall in Nightstorm Cave. ###  Crimson Desert Plate Boots of the
Weapons,item,mechanic,,TRUE,FALSE,Weapons ### Weapon Slots & Equipment System in Crimson Desert    The game features a multi-slot equipment system divided into two main sections:    Primary Weapon Slots (Top Section):      - One s
St Halsius's Priest's Hat,item,item,,FALSE,FALSE,St Halsius's Priest's Hat St Halsius's Priest's Hat           Headgear        Defense   3         Movement Speed   Lv.1         St. Halssius Disguise         None           A hat worn by a priest of 
Jester_Leather_Cloak,item,item,,FALSE,FALSE,"Jester Leather Cloak [...] Cloak Information - Armor Type: Cloaks - Note that prices may vary based on your reputation with certain Factions. ###  Crimson Desert Jester Leather Cloak Notes, Tips &"
